Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"#Russia #Ukraine #war #Wagner PMC Interview. Fucking legendary. I'll always remember this Translation: Journalists be like: ""Are you Mr wagner?"" Legends be like: ""No i am vasya"" ""Who's asking"" ""Who's asking"" Then they say shit like ""i am cnn. I am bbc etc""",Russia,NONE,Ukraine,NONE,Train
"Israel expect Russia to occupy Kiev, Ukraine. PM Netanyahu expressed concern with providing Iron Dome's to Ukraine emphasizing the risk of it falling into Iranian hands. ""Western systems did exactly that journey and we now find them on our borders with Hezbullah.""",Russia,FAVOR,Ukraine,AGAINST,Train
"Russia's Wagner Group mutiny resonated in the morale of the Russians in Ukraine. The Russian Army's morale is collapsing. Not only in Bakhmut but also Donetsk, Donbas, Melitopol, Berdyansk, Zaporizhzhia and Kherson Oblast. No wonder The Ukrainian Army is advancing. #Bakhmut",Russia,AGAINST,Ukraine,FAVOR,Train
What they are not telling you about russia Ukraine war,Russia,NONE,Ukraine,NONE,Train
Russia did evacuate orphanages from Ukraine: Lavrov Putin aka Putler is wanted by The International Criminal Court (ICC) for the war crime of kidnapped children from occupied areas of Ukraine to the Russian Federation. #RussiaIsANaziState #ArmUkraineNow #Rusia #Ukraina #Ucrania,Russia,AGAINST,Ukraine,NONE,Train
While US is preparing to enjoy some quiet time over the holiday weekend. Ukrainians are making preparations to deal with a nuclear terrorist catastrophe caused by Russia. Please keep Ukraine in your thoughts,Russia,AGAINST,Ukraine,FAVOR,Train
"The terrible secret of California, which the USA tried to hide with all its might, but Ivan from Russia told you everything:",Russia,FAVOR,Ukraine,NONE,Train
"Remember I told you don't fear Russia using nuclear weapons, fear that your societies will be overtaken by open fascists wanting to make peace with the fascist Russia. Now look at France. This might be a prelude. Those who fail to support Ukraine lose their own states.",Russia,AGAINST,Ukraine,FAVOR,Train
"""A year ago, Russia denied the Wagner group's existence. Now, Yevgeny Prigozhin's rebellion has publicly destroyed Putin's case for the war in Ukraine. Wagner's march to Moscow showed us just how quickly Russians can leave Ukraine when they choose to.""",Russia,AGAINST,Ukraine,FAVOR,Train
"""He can't figure out if Russia is at war with Ukraine, or if Russia is at war with Iraq.""@RitaCosby discusses Joe Biden's latest gaffes and how even Democrats are concerned about his mental fitness.",Russia,NONE,Ukraine,NONE,Train
"Ukraine bombed Donbass for 8 years straight, resulting in 15k total dead. After waiting 8 years for the killing to stop and the Minsk agreement to be implemented, Russia finally recognized the independent republics. Russia's military is protecting the Donbass people from NATO.",Russia,FAVOR,Ukraine,AGAINST,Train
"""Ukraine is winning!""",Russia,NONE,Ukraine,FAVOR,Train
"As I said, Russia is one of the least peaceful countries. Georgia, Syria, Ukraine.... They clearly started this war and if they really want peace, because they see themselves as a ""peaceful"" (LOL) nation, they can end the war by getting out.",Russia,AGAINST,Ukraine,NONE,Train
"Russians are evacuating their staff from the nuclear power plant and we all know why, yet here I am mentally preparing myself to having to PROVE that Ukraine didn't do it when russia blows up the plant, damn right I said ""when"", not ""if""",Russia,AGAINST,Ukraine,FAVOR,Train
"Indeed, in the capital of Lithuania, Vilnius, they are currently welcoming future members of NATO. #Ukraine #ZNPP #Zaporizhzhia #Russia #Putin",Russia,NONE,Ukraine,NONE,Train
"""A just and lasting peace requires a stronger #Ukraine capable of defeating and deterring any aggression."" Deterring Russia means longer range systems... anything else prolongs the war and kills Ukrainians and hurts the world's economy. #ATACMS #F16s (needed yesterday) #MOG",Russia,AGAINST,Ukraine,FAVOR,Train
"Kasparov and Khodorkovsky in Foreign Affairs: ""Don't Fear Putin's Demise"" ""Victory for Ukraine, Democracy for Russia"" ""Putin's aggression has exposed the inherent instability of his model of government, which is built on the need to confront foreign enemies. """,Russia,AGAINST,Ukraine,FAVOR,Train
"a military conflict with Russia or not. Most likely, Lithuania and Poland agreed to this NATO proposal, concluding that they are ready. - In that case, will the military groups of these countries on the territory of Ukraine become legitimate targets for Russian missiles?",Russia,NONE,Ukraine,NONE,Train
NATO must stop attacking Russia through Ukraine to avoid Nuclear war. Scientists have released this simulation of video of a NATO vs Russia nuclear escalation in which 5 Billion people will die...,Russia,FAVOR,Ukraine,AGAINST,Train
No This Isn't The Proxy Geopolitical War Against Ukraine and Russia This Is The Globalists War On Europe And Whites #FranceRiots,Russia,NONE,Ukraine,NONE,Train
"Alarming images from RUSSIA Just kidding This isn't Russia, Ukraine, or Ghaza. It's France ! To be exact: Macron's France This is the result of 60 years of uncontrolled #immigration of people who piss on Western values. #FranceRiots",Russia,NONE,Ukraine,NONE,Train
"Sergei Lavrov in an interview with the media group ""Radio and TV Portugal"" said: Russia in the conflict around Ukraine is fighting not for territories, but for Russian people, its history, religion and language;",Russia,FAVOR,Ukraine,NONE,Train
"Illegal, immoral, illegitimate, and unprovoked invasion of russia in Ukraine, so far, in a few numbers. Do not turn a blind eye to this, but rather, please open your eyes and those of others:",Russia,AGAINST,Ukraine,NONE,Train
Former US Vice President Pence (R) urged the White House to immediately arm Ukraine to the teeth and act like the strongest military in the world that we are because Ukraine's victory against Russia is a victory for the entire free world including the US.Interview from Kyiv.,Russia,NONE,Ukraine,AGAINST,Train
This is not on front page of every newspaper on Earth why exactly?? #Zaporizhzhia #NuclearWar,Russia,NONE,Ukraine,NONE,Train
"Poland and Lithuania are preparing troops to be sent to western Ukraine - This is where an unprecedented war with Russia will begin... There is every reason to believe that, after the NATO summit in Vilnius, scheduled for 11-12 July",Russia,NONE,Ukraine,NONE,Train
Twitter accounts are pushing that there's a race war going on in france. It's got Kremlin written all over it. #Ukraine #Russia #War #NAFO #NATO #France,Russia,NONE,Ukraine,NONE,Train
"Mass arrests of immigrants (both legal & illegal) continue daily in Russia. The Kremlin will be sending them as cannon fodder to Ukraine to fight Putin's war, per our previous reporting ",Russia,AGAINST,Ukraine,NONE,Train
"21-year-old student of Kyiv Academy Hlib Ivanov was supposed to receive his diploma yesterday. Instead, his parents came to the graduation because he died in the war in Bakhmut, Ukraine. This is how Russia takes the lives of young Ukrainians who had dreams and achievements.",Russia,AGAINST,Ukraine,NONE,Train
"Ukrainian soldiers run to pick up a pizza in the trench, which they order. #ukraine #ukrainian #UkraineWillWin #Russia #RussiaIsCollapsing #RussiaIsLosing",Russia,AGAINST,Ukraine,FAVOR,Train
"Our Commander-in-Chief of the Armed Forces of Ukraine and iron General Zaluzhnyi About russia's goals in Ukraine. And why they decided to attack Ukraine. Their goal: to kill Ukrainians, to destroy Ukrainian statehood and genocide of the Ukrainian people",Russia,AGAINST,Ukraine,FAVOR,Train
#Zaporizhzhia RUSSIA PREPARING TO BLOW UP NUCLEAR POWER PLANT #Ukraine,Russia,NONE,Ukraine,NONE,Train
"Western media, together with British intelligence and ""experts"" from Ukraine, have seriously stated that Russia is allegedly training combat dolphins to protect a naval base in the Black Sea",Russia,NONE,Ukraine,NONE,Train
Meanwhile regular beach season in #Russia Woman attacks girl on sudden. Such a savage behaviour is not sporadic: Russians came from Golden Horde tribe. And power of violence is normal for them.,Russia,AGAINST,Ukraine,NONE,Train
"I wonder if my fellow Bulgarians know that the US is flying Black Hawks from the military base in Novo Selo (Bezmer), Bulgaria into Ukraine and evacuating their injured ""tourists"". Then the 7-10% shitlibs scream ""muhhhhh but Russia put us in the list of unfriendly countries""",Russia,AGAINST,Ukraine,NONE,Train
Poland has asked NATO to deploy nuclear weapons in the country under the nuclear sharing program. #Poland #NATO #Russia #RussiaIsCollapsing #RussiaIsLosing #ukraine #EU,Russia,NONE,Ukraine,NONE,Train
"First the Russian Army illegally annexed Ukrainian Crimea, then the Russian MoD plundered Donbas, then the Russians occupied Luhansk, Donetsk, Zaporizhzhia and Kherson Oblast. Give Ukraine ATACMS and F-16s to send Orcs Ruzzians back to Russia's Putin and Lavrov.#ArmUkraineNow",Russia,AGAINST,Ukraine,FAVOR,Train
BREAKING NEWS!!! WAGNER GROUP BOSS PRIGOZHIN HAS ARRIVED AT THE HAKUREI SHRINE IN GENSOKYO #russia #ukraine #WagnerGroup,Russia,NONE,Ukraine,NONE,Train
This is how people in Russia wait for a bus in order not to go to prison under the article of an unauthorized meeting (it is forbidden to gather in groups of more than 2 or 3 people).,Russia,AGAINST,Ukraine,NONE,Train
How it started¡­ ¡­ how it's going. #Ukraine #Russia,Russia,NONE,Ukraine,NONE,Train
"In 2015, a congress of #neonazis of Russia was held in St. Petersburg. It is interesting that Putin's party ""United Russia"" took part in the congress, and the congress was guarded by the Russian police. #RussiaIsANaziState #NAZIRussia #Neonazi ",Russia,AGAINST,Ukraine,NONE,Train
"While #Ukraine destroys monuments, a new one will appear in Russia, Chita - a warrior with a girl in his arms. The sculptor Denis Stritovich said that the little girl is a symbol of the children of #Donbass and all the children of #Russia.",Russia,FAVOR,Ukraine,AGAINST,Train
Putin warns the West to stop making a lot of noise when Russia carry-out missile strike and then keep quiet when Ukraine does the same against Russia,Russia,NONE,Ukraine,NONE,Train
army reportedly used 6 Storm Shadow #UK -supplied missiles for the total cost of $18.000.000 to attack an airfield in Berdyansk. Half of them were destroyed by #Russia n AA. No damage was reported on the ground. #ukrainecounteroffensive #UkraineRussiaWar #UkraineWar,Russia,NONE,Ukraine,NONE,Train
"Russian Foreign Minister Sergey Lavrov explains who Russia is fighting in Ukraine We are at war in Ukraine with the West and with Nazism, which is being revived in this country and is being actively cultivated by our Western colleagues,"" Lavrov said.",Russia,FAVOR,Ukraine,AGAINST,Train
"Highlights of Russian Military Operation in Ukraine on June 29 #Russia #NATO#Ukraine #EuropeNear #Bakhmut, the enemy significantly increased pressure on the flanks. The attacks on #Berkhivka and #Klischiivka do not stop. #Belgorod",Russia,NONE,Ukraine,NONE,Train
"Today, fighters of the anti-aircraft missile artillery division of the 10th OGSHBr ""Edelweiss"" shot down a Russia Su-25 fighter with the help of MANPADS-Igla. Thanks guys for their work! Glory to Ukraine !",Russia,AGAINST,Ukraine,FAVOR,Train
The money laundering operation known as the Ukraine-Russia war is nearing its end.,Russia,AGAINST,Ukraine,AGAINST,Train
Do all those still opposed to sending cluster munitions to Ukraine for whatever fucking reason realize that Russia has been using cluster munitions since day one?,Russia,AGAINST,Ukraine,FAVOR,Train
